orank,rating_day_num,season,sys_name,team
219,37,2003,RPI,1102
253,37,2003,RPI,1103
21,37,2003,RPI,1104
300,37,2003,RPI,1105
260,37,2003,RPI,1106
187,37,2003,RPI,1107
209,37,2003,RPI,1108
172,37,2003,RPI,1110
160,37,2003,RPI,1111
43,37,2003,RPI,1112
113,37,2003,RPI,1113
93,37,2003,RPI,1114
202,37,2003,RPI,1115
100,37,2003,RPI,1116
291,37,2003,RPI,1117
313,37,2003,RPI,1119
97,37,2003,RPI,1120
28,37,2003,RPI,1122
10,37,2003,RPI,1123
114,37,2003,RPI,1124
177,37,2003,RPI,1125
189,37,2003,RPI,1126
214,37,2003,RPI,1127
254,37,2003,RPI,1128
164,37,2003,RPI,1129
104,37,2003,RPI,1130
102,37,2003,RPI,1131
232,37,2003,RPI,1132
178,37,2003,RPI,1133
304,37,2003,RPI,1135
135,37,2003,RPI,1137
306,37,2003,RPI,1138
22,37,2003,RPI,1139
29,37,2003,RPI,1140
112,37,2003,RPI,1141
322,37,2003,RPI,1142
109,37,2003,RPI,1143
216,37,2003,RPI,1144
74,37,2003,RPI,1145
285,37,2003,RPI,1147
247,37,2003,RPI,1148
122,37,2003,RPI,1149
303,37,2003,RPI,1150
116,37,2003,RPI,1151
317,37,2003,RPI,1152
68,37,2003,RPI,1153
239,37,2003,RPI,1154
96,37,2003,RPI,1155
217,37,2003,RPI,1156
222,37,2003,RPI,1157
1,37,2003,RPI,1158
275,37,2003,RPI,1159
270,37,2003,RPI,1160
124,37,2003,RPI,1161
294,37,2003,RPI,1162
15,37,2003,RPI,1163
284,37,2003,RPI,1164
310,37,2003,RPI,1165
16,37,2003,RPI,1166
312,37,2003,RPI,1168
166,37,2003,RPI,1169
256,37,2003,RPI,1170
221,37,2003,RPI,1171
79,37,2003,RPI,1172
75,37,2003,RPI,1173
128,37,2003,RPI,1174
188,37,2003,RPI,1175
237,37,2003,RPI,1176
4,37,2003,RPI,1177
145,37,2003,RPI,1178
158,37,2003,RPI,1179
125,37,2003,RPI,1180
42,37,2003,RPI,1181
197,37,2003,RPI,1182
157,37,2003,RPI,1183
316,37,2003,RPI,1184
92,37,2003,RPI,1185
72,37,2003,RPI,1186
44,37,2003,RPI,1187
289,37,2003,RPI,1189
246,37,2003,RPI,1190
110,37,2003,RPI,1191
298,37,2003,RPI,1192
59,37,2003,RPI,1193
179,37,2003,RPI,1194
25,37,2003,RPI,1196
204,37,2003,RPI,1197
147,37,2003,RPI,1198
30,37,2003,RPI,1199
240,37,2003,RPI,1200
77,37,2003,RPI,1201
201,37,2003,RPI,1202
53,37,2003,RPI,1203
258,37,2003,RPI,1204
269,37,2003,RPI,1205
149,37,2003,RPI,1206
54,37,2003,RPI,1207
41,37,2003,RPI,1208
274,37,2003,RPI,1209
81,37,2003,RPI,1210
65,37,2003,RPI,1211
192,37,2003,RPI,1212
58,37,2003,RPI,1214
136,37,2003,RPI,1216
87,37,2003,RPI,1217
50,37,2003,RPI,1218
120,37,2003,RPI,1219
286,37,2003,RPI,1220
91,37,2003,RPI,1221
268,37,2003,RPI,1222
292,37,2003,RPI,1224
90,37,2003,RPI,1225
305,37,2003,RPI,1226
168,37,2003,RPI,1227
64,37,2003,RPI,1228
223,37,2003,RPI,1229
5,37,2003,RPI,1231
169,37,2003,RPI,1232
170,37,2003,RPI,1233
60,37,2003,RPI,1234
32,37,2003,RPI,1235
244,37,2003,RPI,1236
195,37,2003,RPI,1237
134,37,2003,RPI,1238
245,37,2003,RPI,1239
71,37,2003,RPI,1240
154,37,2003,RPI,1241
39,37,2003,RPI,1242
249,37,2003,RPI,1243
48,37,2003,RPI,1245
20,37,2003,RPI,1246
131,37,2003,RPI,1247
288,37,2003,RPI,1248
314,37,2003,RPI,1249
231,37,2003,RPI,1250
272,37,2003,RPI,1251
